ts,latency_ms,status,phase
1784435004.495,481.428,200,warmup
1784435004.976,437.909,200,warmup
1784435005.414,417.9,200,warmup
1784435005.832,117.338,200,warmup
1784435005.95,142.535,200,warmup
1784435006.092,141.907,200,warmup
1784435006.234,132.878,200,warmup
1784435006.367,124.72,200,warmup
1784435006.492,140.573,200,warmup
1784435006.632,165.941,200,warmup
1784435006.798,138.737,200,warmup
1784435006.937,145.73,200,warmup
1784435007.083,149.321,200,warmup
1784435007.232,107.313,200,warmup
1784435007.339,138.858,200,warmup
1784435007.478,119.614,200,warmup
1784435007.598,394.324,200,warmup
1784435007.992,143.533,200,warmup
1784435008.136,122.074,200,warmup
1784435008.258,132.285,200,warmup
1784435008.39,143.552,200,warmup
1784435008.534,118.644,200,warmup
1784435008.652,209.268,200,warmup
1784435008.862,122.707,200,warmup
1784435008.984,145.789,200,warmup
1784435009.13,136.298,200,warmup
1784435009.267,124.861,200,warmup
1784435009.391,144.014,200,warmup
1784435009.536,104.443,200,warmup
1784435009.64,140.072,200,warmup
1784435009.78,152.641,200,warmup
1784435009.933,158.319,200,warmup
1784435010.091,142.595,200,warmup
1784435010.234,109.751,200,warmup
1784435010.343,147.228,200,warmup
1784435010.491,141.594,200,warmup
1784435010.632,111.186,200,warmup
1784435010.744,92.57,200,warmup
1784435010.836,139.718,200,warmup
1784435010.976,149.008,200,warmup
1784435011.125,115.855,200,warmup
1784435011.241,139.7,200,warmup
1784435011.38,140.491,200,warmup
1784435011.521,111.287,200,warmup
1784435011.632,140.745,200,warmup
1784435011.773,151.869,200,warmup
1784435011.925,107.845,200,warmup
1784435012.033,147.14,200,warmup
1784435012.18,158.236,200,warmup
1784435012.338,97.772,200,warmup
1784435012.436,146.719,200,warmup
1784435012.583,142.011,200,warmup
1784435012.725,109.882,200,warmup
1784435012.835,142.477,200,warmup
1784435012.977,153.727,200,warmup
1784435013.131,109.57,200,warmup
1784435013.24,130.484,200,warmup
1784435013.371,151.429,200,warmup
1784435013.522,123.134,200,warmup
1784435013.646,131.182,200,warmup
1784435013.777,120.06,200,warmup
1784435013.897,139.463,200,warmup
1784435014.036,144.38,200,warmup
1784435014.181,139.949,200,warmup
1784435014.321,115.261,200,warmup
1784435014.436,138.173,200,measure
1784435014.574,153.752,200,measure
1784435014.728,161.961,200,measure
1784435014.89,95.932,200,measure
1784435014.986,150.097,200,measure
1784435015.136,155.903,200,measure
1784435015.292,87.988,200,measure
1784435015.38,148.322,200,measure
1784435015.528,132.15,200,measure
1784435015.66,171.869,200,measure
1784435015.832,110.322,200,measure
1784435015.943,101.961,200,measure
1784435016.045,138.0,200,measure
1784435016.183,146.109,200,measure
1784435016.329,115.134,200,measure
1784435016.444,136.64,200,measure
1784435016.581,141.854,200,measure
1784435016.722,124.305,200,measure
1784435016.847,135.29,200,measure
1784435016.982,154.235,200,measure
1784435017.136,101.798,200,measure
1784435017.238,146.609,200,measure
1784435017.385,156.735,200,measure
1784435017.542,95.419,200,measure
1784435017.637,144.726,200,measure
1784435017.782,155.368,200,measure
1784435017.937,101.088,200,measure
1784435018.038,144.487,200,measure
1784435018.183,152.054,200,measure
1784435018.335,97.335,200,measure
1784435018.432,140.541,200,measure
1784435018.573,158.629,200,measure
1784435018.731,103.181,200,measure
1784435018.835,197.845,200,measure
1784435019.032,111.306,200,measure
1784435019.144,95.571,200,measure
1784435019.239,131.441,200,measure
1784435019.371,150.763,200,measure
1784435019.522,115.861,200,measure
1784435019.637,139.761,200,measure
1784435019.777,120.888,200,measure
1784435019.898,141.318,200,measure
1784435020.039,134.208,200,measure
1784435020.174,152.353,200,measure
1784435020.326,126.589,200,measure
1784435020.453,127.452,200,measure
1784435020.58,138.69,200,measure
1784435020.719,117.692,200,measure
1784435020.837,144.11,200,measure
1784435020.981,417.97,200,measure
1784435021.399,425.758,200,measure
1784435021.824,608.814,200,measure
1784435022.433,108.659,200,measure
1784435022.542,96.115,200,measure
1784435022.638,146.996,200,measure
1784435022.785,135.616,200,measure
1784435022.921,123.521,200,measure
1784435023.044,146.372,200,measure
1784435023.191,152.997,200,measure
1784435023.344,83.651,200,measure
1784435023.427,140.051,200,measure
1784435023.567,129.189,200,measure
1784435023.697,169.277,200,measure
1784435023.866,116.168,200,measure
1784435023.982,147.434,200,measure
1784435024.13,105.721,200,measure
1784435024.235,137.791,200,measure
1784435024.373,196.607,200,measure
1784435024.57,152.132,200,measure
1784435024.722,148.394,200,measure
1784435024.87,146.632,200,measure
1784435025.017,214.976,200,measure
1784435025.232,150.257,200,measure
1784435025.382,159.359,200,measure
1784435025.542,149.053,200,measure
1784435025.691,142.984,200,measure
1784435025.834,112.259,200,measure
1784435025.946,167.773,200,measure
1784435026.114,162.236,200,measure
1784435026.276,176.465,200,measure
1784435026.452,138.02,200,measure
1784435026.59,89.469,200,measure
1784435026.68,149.548,200,measure
1784435026.83,105.929,200,measure
1784435026.935,143.588,200,measure
1784435027.079,150.536,200,measure
1784435027.23,103.849,200,measure
1784435027.334,146.787,200,measure
1784435027.48,149.942,200,measure
1784435027.63,102.787,200,measure
1784435027.733,140.779,200,measure
1784435027.874,145.155,200,measure
1784435028.019,113.127,200,measure
1784435028.132,152.482,200,measure
1784435028.285,135.111,200,measure
1784435028.42,111.561,200,measure
1784435028.531,149.14,200,measure
1784435028.681,145.542,200,measure
1784435028.826,110.351,200,measure
1784435028.937,177.457,200,measure
1784435029.114,131.597,200,measure
1784435029.246,94.11,200,measure
1784435029.34,142.773,200,measure
1784435029.483,155.408,200,measure
1784435029.638,96.598,200,measure
1784435029.735,146.075,200,measure
1784435029.881,148.03,200,measure
1784435030.029,110.148,200,measure
1784435030.139,142.106,200,measure
1784435030.281,144.772,200,measure
1784435030.426,115.118,200,measure
1784435030.541,135.873,200,measure
1784435030.677,121.244,200,measure
1784435030.798,138.979,200,measure
1784435030.937,144.509,200,measure
1784435031.082,143.372,200,measure
1784435031.225,165.202,200,measure
1784435031.39,89.575,200,measure
1784435031.48,146.102,200,measure
1784435031.626,112.696,200,measure
1784435031.739,144.4,200,measure
1784435031.883,156.409,200,measure
1784435032.039,91.011,200,measure
1784435032.131,154.078,200,measure
1784435032.285,135.209,200,measure
1784435032.42,115.784,200,measure
1784435032.536,148.933,200,measure
1784435032.685,140.693,200,measure
1784435032.825,103.601,200,measure
1784435032.929,153.735,200,measure
1784435033.083,152.954,200,measure
1784435033.236,99.358,200,measure
1784435033.335,144.967,200,measure
1784435033.48,159.002,200,measure
1784435033.639,100.096,200,measure
1784435033.739,137.528,200,measure
1784435033.877,154.35,200,measure
1784435034.031,104.935,200,measure
1784435034.136,145.534,200,measure
1784435034.282,216.463,200,measure
1784435034.498,141.06,200,measure
1784435034.639,134.318,200,measure
1784435034.773,148.077,200,measure
1784435034.922,170.106,200,measure
1784435035.092,141.978,200,measure
1784435035.234,132.281,200,measure
1784435035.366,146.553,200,measure
1784435035.513,146.491,200,measure
1784435035.659,159.403,200,measure
1784435035.818,172.149,200,measure
1784435035.991,166.91,200,measure
1784435036.158,140.386,200,measure
1784435036.298,135.754,200,measure
1784435036.434,145.948,200,measure
1784435036.58,145.395,200,measure
1784435036.725,102.74,200,measure
1784435036.828,156.758,200,measure
1784435036.985,156.428,200,measure
1784435037.141,95.491,200,measure
1784435037.237,158.005,200,measure
1784435037.395,151.206,200,measure
1784435037.546,98.438,200,measure
1784435037.644,137.239,200,measure
1784435037.782,148.199,200,measure
1784435037.93,182.339,200,measure
1784435038.112,145.436,200,measure
1784435038.258,141.02,200,measure
1784435038.399,135.741,200,measure
1784435038.534,144.777,200,measure
1784435038.679,146.482,200,measure
1784435038.826,119.913,200,measure
1784435038.946,151.4,200,measure
1784435039.097,142.121,200,measure
1784435039.239,132.969,200,measure
1784435039.372,99.579,200,measure
1784435039.472,153.323,200,measure
1784435039.625,112.55,200,measure
1784435039.738,139.429,200,measure
1784435039.877,215.906,200,measure
1784435040.093,331.394,200,measure
1784435040.424,233.232,200,measure
1784435040.658,165.482,200,measure
1784435040.823,113.33,200,measure
1784435040.937,152.199,200,measure
1784435041.089,281.801,200,measure
1784435041.371,423.616,200,measure
1784435041.794,526.91,200,measure
1784435042.321,228.958,200,measure
1784435042.55,331.468,200,measure
1784435042.882,359.167,200,measure
1784435043.241,118.216,200,measure
1784435043.359,259.297,200,measure
1784435043.618,214.391,200,measure
1784435043.833,310.102,200,measure
1784435044.143,99.857,200,measure
1784435044.243,145.44,200,measure
1784435044.388,139.982,200,measure
1784435044.528,197.359,200,measure
1784435044.726,140.825,200,measure
1784435044.867,152.698,200,measure
1784435045.019,207.713,200,measure
1784435045.227,199.036,200,measure
1784435045.426,109.368,200,measure
1784435045.535,155.173,200,measure
1784435045.691,143.062,200,measure
1784435045.834,163.892,200,measure
1784435045.998,222.339,200,measure
1784435046.22,160.789,200,measure
1784435046.381,139.337,200,measure
1784435046.52,112.094,200,measure
1784435046.632,201.47,200,measure
1784435046.834,119.143,200,measure
1784435046.953,138.944,200,measure
1784435047.092,162.358,200,measure
1784435047.254,86.613,200,measure
1784435047.341,96.831,200,measure
1784435047.438,150.907,200,measure
1784435047.589,146.207,200,measure
1784435047.735,175.24,200,measure
1784435047.91,146.827,200,measure
1784435048.057,139.84,200,measure
1784435048.197,135.882,200,measure
1784435048.333,233.409,200,measure
1784435048.566,155.728,200,measure
1784435048.722,128.133,200,measure
1784435048.85,135.456,200,measure
1784435048.985,148.145,200,measure
1784435049.134,103.269,200,measure
1784435049.237,149.63,200,measure
1784435049.387,145.77,200,measure
1784435049.532,176.48,200,measure
1784435049.709,150.936,200,measure
1784435049.86,138.076,200,measure
1784435049.998,151.13,200,measure
1784435050.149,125.485,200,measure
1784435050.275,147.239,200,measure
1784435050.422,117.755,200,measure
1784435050.54,150.892,200,measure
1784435050.691,155.884,200,measure
1784435050.846,102.361,200,measure
1784435050.949,183.574,200,measure
1784435051.132,118.59,200,measure
1784435051.251,90.928,200,measure
1784435051.342,144.793,200,measure
1784435051.487,188.335,200,measure
1784435051.675,147.003,200,measure
1784435051.822,143.927,200,measure
1784435051.966,167.574,200,measure
1784435052.134,104.146,200,measure
1784435052.238,337.506,200,measure
1784435052.575,155.658,200,measure
1784435052.731,108.21,200,measure
1784435052.839,144.425,200,measure
1784435052.984,139.512,200,measure
1784435053.123,114.922,200,measure
1784435053.238,149.279,200,measure
1784435053.387,150.151,200,measure
1784435053.538,99.005,200,measure
1784435053.637,149.688,200,measure
1784435053.786,150.244,200,measure
1784435053.937,196.809,200,measure
1784435054.133,144.477,200,measure
1784435054.278,153.191,200,measure
1784435054.431,101.379,200,measure
1784435054.533,201.152,200,measure
1784435054.734,108.7,200,measure
1784435054.842,90.109,200,measure
1784435054.933,200.296,200,measure
1784435055.133,109.81,200,measure
1784435055.243,86.877,200,measure
1784435055.33,160.357,200,measure
1784435055.49,146.178,200,measure
1784435055.636,120.813,200,measure
1784435055.757,175.111,200,measure
