ts,latency_ms,status,phase
1784435059.61,136.194,200,warmup
1784435059.611,153.702,200,warmup
1784435059.746,116.793,200,warmup
1784435059.764,177.531,200,warmup
1784435059.863,123.792,200,warmup
1784435059.942,102.696,200,warmup
1784435059.987,156.102,200,warmup
1784435060.045,140.45,200,warmup
1784435060.143,92.434,200,warmup
1784435060.185,155.143,200,warmup
1784435060.235,144.744,200,warmup
1784435060.34,104.056,200,warmup
1784435060.444,144.712,200,warmup
1784435060.38,223.488,200,warmup
1784435060.604,157.375,200,warmup
1784435060.589,207.769,200,warmup
1784435060.761,123.462,200,warmup
1784435060.797,149.387,200,warmup
1784435060.885,154.737,200,warmup
1784435060.946,187.339,200,warmup
1784435061.039,95.426,200,warmup
1784435061.134,115.263,200,warmup
1784435061.135,197.379,200,warmup
1784435061.249,95.436,200,warmup
1784435061.332,108.243,200,warmup
1784435061.344,131.446,200,warmup
1784435061.44,149.901,200,warmup
1784435061.476,217.384,200,warmup
1784435061.59,174.702,200,warmup
1784435061.693,181.006,200,warmup
1784435061.765,160.395,200,warmup
1784435061.874,116.446,200,warmup
1784435061.926,110.892,200,warmup
1784435061.991,149.489,200,warmup
1784435062.036,147.143,200,warmup
1784435062.14,96.681,200,warmup
1784435062.184,148.935,200,warmup
1784435062.237,144.838,200,warmup
1784435062.333,104.738,200,warmup
1784435062.382,150.172,200,warmup
1784435062.437,143.597,200,warmup
1784435062.532,105.524,200,warmup
1784435062.581,156.152,200,warmup
1784435062.637,149.651,200,warmup
1784435062.737,98.333,200,warmup
1784435062.787,153.361,200,warmup
1784435062.835,146.343,200,warmup
1784435062.94,116.694,200,warmup
1784435062.982,159.939,200,warmup
1784435063.142,87.226,200,warmup
1784435063.057,175.732,200,warmup
1784435063.233,113.385,200,warmup
1784435063.229,203.739,200,warmup
1784435063.346,91.774,200,warmup
1784435063.433,113.926,200,warmup
1784435063.438,146.808,200,warmup
1784435063.547,87.564,200,warmup
1784435063.585,155.115,200,warmup
1784435063.634,149.778,200,warmup
1784435063.74,88.828,200,warmup
1784435063.784,159.691,200,warmup
1784435063.829,203.266,200,warmup
1784435063.944,146.906,200,warmup
1784435064.091,142.101,200,warmup
1784435064.032,368.941,200,warmup
1784435064.401,128.38,200,warmup
1784435064.233,401.643,200,warmup
1784435064.53,152.944,200,warmup
1784435064.634,99.222,200,warmup
1784435064.683,152.272,200,warmup
1784435064.734,140.089,200,warmup
1784435064.835,100.81,200,warmup
1784435064.874,166.234,200,warmup
1784435064.936,139.608,200,warmup
1784435065.04,99.089,200,warmup
1784435065.075,165.806,200,warmup
1784435065.139,137.343,200,warmup
1784435065.241,101.984,200,warmup
1784435065.277,159.989,200,warmup
1784435065.343,127.591,200,warmup
1784435065.437,99.021,200,warmup
1784435065.471,166.054,200,warmup
1784435065.536,140.087,200,warmup
1784435065.637,111.244,200,warmup
1784435065.676,162.018,200,warmup
1784435065.748,131.203,200,warmup
1784435065.838,97.058,200,warmup
1784435065.879,156.916,200,warmup
1784435065.935,141.23,200,warmup
1784435066.036,102.186,200,warmup
1784435066.076,168.24,200,warmup
1784435066.138,132.161,200,warmup
1784435066.244,180.694,200,warmup
1784435066.271,168.675,200,warmup
1784435066.425,143.003,200,warmup
1784435066.439,183.489,200,warmup
1784435066.568,147.015,200,warmup
1784435066.623,167.742,200,warmup
1784435066.715,145.545,200,warmup
1784435066.791,159.336,200,warmup
1784435066.861,133.506,200,warmup
1784435066.95,93.598,200,warmup
1784435066.994,154.043,200,warmup
1784435067.044,131.685,200,warmup
1784435067.148,96.349,200,warmup
1784435067.175,166.469,200,warmup
1784435067.245,140.905,200,warmup
1784435067.342,96.427,200,warmup
1784435067.386,163.552,200,warmup
1784435067.438,146.96,200,warmup
1784435067.549,104.706,200,warmup
