ts,latency_ms,status,phase
1784435170.259,786.863,200,warmup
1784435170.267,890.133,200,warmup
1784435170.274,1059.339,200,warmup
1784435170.272,1087.368,200,warmup
1784435170.263,1137.487,200,warmup
1784435170.268,1150.957,200,warmup
1784435170.272,1233.471,200,warmup
1784435170.274,1330.194,200,warmup
1784435170.258,1458.337,200,warmup
1784435171.046,710.331,200,warmup
1784435170.273,1524.46,200,warmup
1784435170.264,1539.834,200,warmup
1784435171.157,684.057,200,warmup
1784435170.269,1635.273,200,warmup
1784435170.269,1837.85,200,warmup
1784435170.27,1848.476,200,warmup
1784435171.36,777.118,200,warmup
1784435170.273,2018.4,200,warmup
1784435170.266,2036.15,200,warmup
1784435171.334,974.965,200,warmup
1784435171.4,1308.066,200,warmup
1784435171.506,1291.2,200,warmup
1784435171.419,1384.42,200,warmup
1784435171.798,1260.047,200,warmup
1784435172.107,997.731,200,warmup
1784435171.756,1391.806,200,warmup
1784435172.137,1068.932,200,warmup
1784435172.118,1090.595,200,warmup
1784435171.841,1396.869,200,warmup
1784435171.604,1704.972,200,warmup
1784435171.717,1779.005,200,warmup
1784435171.804,1701.193,200,warmup
1784435171.904,1793.765,200,warmup
1784435173.058,663.956,200,warmup
1784435172.302,1499.984,200,warmup
1784435172.291,1523.904,200,warmup
1784435172.309,1528.006,200,warmup
1784435173.148,953.556,200,warmup
1784435173.209,895.1,200,warmup
1784435172.797,1349.382,200,warmup
1784435172.804,1347.598,200,warmup
1784435172.709,1705.061,200,warmup
1784435173.698,808.945,200,warmup
1784435173.802,717.286,200,warmup
1784435173.722,876.998,200,warmup
1784435173.105,1738.132,200,warmup
1784435173.206,1696.24,200,warmup
1784435173.238,1665.472,200,warmup
1784435173.506,1452.803,200,warmup
1784435173.309,1741.361,200,warmup
1784435173.496,1601.881,200,warmup
1784435174.414,784.874,200,warmup
1784435174.599,605.073,200,warmup
1784435173.837,1379.052,200,warmup
1784435174.519,881.428,200,warmup
1784435174.104,1390.797,200,warmup
1784435174.101,1837.969,200,warmup
1784435174.146,1887.397,200,warmup
1784435174.151,1987.684,200,warmup
1784435173.815,2391.711,200,warmup
1784435174.507,1739.21,200,warmup
1784435175.216,1187.463,200,warmup
1784435175.198,1222.623,200,warmup
1784435175.051,1395.043,200,warmup
1784435175.204,1296.73,200,warmup
1784435175.401,1197.812,200,warmup
1784435175.097,1543.167,200,warmup
1784435174.843,1953.096,200,warmup
1784435174.958,1881.334,200,warmup
1784435174.902,2106.008,200,warmup
1784435176.446,654.991,200,warmup
1784435176.599,624.691,200,warmup
1784435174.903,2386.807,200,warmup
1784435176.207,1131.151,200,warmup
1784435176.641,761.049,200,warmup
1784435176.139,1310.499,200,warmup
1784435175.939,1566.769,200,warmup
1784435176.421,1123.77,200,warmup
1784435177.101,502.171,200,warmup
1784435176.403,1237.749,200,warmup
1784435176.034,1665.651,200,warmup
1784435175.495,2402.088,200,warmup
1784435177.29,710.619,200,warmup
1784435177.008,1029.684,200,warmup
1784435176.246,1859.276,200,warmup
1784435177.506,795.156,200,warmup
1784435177.223,1118.193,200,warmup
1784435177.402,943.409,200,warmup
1784435176.5,1997.797,200,warmup
1784435177.699,897.994,200,warmup
1784435177.641,969.792,200,warmup
1784435176.796,1912.992,200,warmup
1784435178.001,802.299,200,warmup
1784435177.603,1242.348,200,warmup
1784435176.84,2059.565,200,warmup
1784435178.345,677.842,200,warmup
1784435177.897,1240.813,200,warmup
1784435178.597,602.836,200,warmup
1784435178.899,330.595,200,warmup
1784435177.338,2062.063,200,warmup
1784435178.301,1141.911,200,warmup
1784435177.449,2047.735,200,warmup
1784435177.545,1962.518,200,warmup
1784435178.498,1246.188,200,warmup
1784435178.038,1854.239,200,warmup
1784435179.4,499.864,200,warmup
1784435178.611,1338.685,200,warmup
1784435178.105,1891.921,200,warmup
1784435179.443,757.66,200,warmup
1784435179.497,709.406,200,warmup
1784435178.803,1441.778,200,warmup
1784435178.341,1949.235,200,warmup
1784435179.023,1415.211,200,warmup
1784435179.23,1305.724,200,warmup
1784435179.2,1338.354,200,warmup
1784435178.709,1904.939,200,warmup
1784435179.9,803.651,200,measure
1784435179.949,755.231,200,measure
1784435180.291,610.704,200,measure
1784435180.438,485.154,200,measure
1784435179.892,1064.108,200,measure
1784435178.845,2151.963,200,warmup
1784435179.138,1965.477,200,warmup
1784435180.956,242.843,200,measure
1784435181.103,225.746,200,measure
1784435180.201,1240.484,200,measure
1784435181.442,103.574,200,measure
1784435180.245,1393.07,200,measure
1784435179.507,2302.168,200,warmup
1784435180.207,1696.139,200,measure
1784435179.997,1911.002,200,measure
1784435179.744,2249.602,200,warmup
1784435180.705,1355.582,200,measure
1784435180.704,1438.555,200,measure
1784435180.901,1437.723,200,measure
1784435180.923,1513.34,200,measure
1784435181.199,1239.812,200,measure
1784435180.536,1965.711,200,measure
1784435181.903,696.893,200,measure
1784435181.908,793.134,200,measure
1784435181.638,1098.813,200,measure
1784435181.81,934.119,200,measure
1784435181.994,808.829,200,measure
1784435180.614,2199.668,200,measure
1784435180.538,2354.411,200,measure
1784435182.437,667.41,200,measure
1784435182.6,602.005,200,measure
1784435180.997,2302.175,200,measure
1784435181.329,1980.82,200,measure
1784435182.803,597.536,200,measure
1784435182.501,937.087,200,measure
1784435182.439,1099.298,200,measure
1784435181.545,2052.794,200,measure
1784435183.104,596.247,200,measure
1784435182.701,1043.829,200,measure
1784435182.814,1121.575,200,measure
1784435182.142,1857.729,200,measure
1784435182.06,1948.322,200,measure
1784435183.202,1036.212,200,measure
1784435182.339,1958.124,200,measure
1784435183.299,1136.723,200,measure
1784435182.737,1761.539,200,measure
1784435183.7,837.391,200,measure
1784435183.401,1200.699,200,measure
1784435184.0,662.935,200,measure
1784435183.31,1394.792,200,measure
1784435184.238,508.581,200,measure
1784435182.744,2054.784,200,measure
1784435183.745,1061.954,200,measure
1784435182.893,2110.175,200,measure
1784435183.439,1757.494,200,measure
1784435183.935,1366.367,200,measure
1784435183.598,1905.303,200,measure
1784435184.663,871.252,200,measure
1784435184.297,1303.089,200,measure
1784435184.705,937.106,200,measure
