ts,tenant,latency_ms,status,phase
1784412519.553,default-org,390.775,200,warmup
1784412519.944,default-org,157.012,200,warmup
1784412520.101,default-org,513.552,200,warmup
1784412519.554,default-org,1116.067,200,warmup
1784412520.67,default-org,224.717,200,warmup
1784412520.615,default-org,334.154,200,warmup
1784412520.895,default-org,292.573,200,warmup
1784412520.949,default-org,293.388,200,warmup
1784412521.242,default-org,196.742,200,warmup
1784412521.187,default-org,465.909,200,warmup
1784412521.653,default-org,235.941,200,warmup
1784412521.439,default-org,511.167,200,warmup
1784412521.95,default-org,175.982,200,warmup
1784412521.889,default-org,363.327,200,warmup
1784412522.126,default-org,321.975,200,warmup
1784412522.252,default-org,306.037,200,warmup
1784412522.558,default-org,176.175,200,warmup
1784412522.448,default-org,324.295,200,warmup
1784412522.735,default-org,178.451,200,warmup
1784412522.773,default-org,272.836,200,warmup
1784412522.913,default-org,418.869,200,warmup
1784412523.045,default-org,359.908,200,warmup
1784412523.332,default-org,175.903,200,warmup
1784412523.405,default-org,206.085,200,warmup
1784412523.508,default-org,401.961,200,warmup
1784412523.611,default-org,340.196,200,warmup
1784412523.952,default-org,212.389,200,warmup
1784412523.91,default-org,305.042,200,warmup
1784412524.164,default-org,206.278,200,warmup
1784412524.215,default-org,246.463,200,warmup
1784412524.37,default-org,215.019,200,warmup
1784412524.461,default-org,264.628,200,warmup
1784412524.726,default-org,173.086,200,warmup
1784412524.585,default-org,364.644,200,warmup
1784412524.899,default-org,182.873,200,warmup
1784412524.95,default-org,242.952,200,warmup
1784412525.082,default-org,282.229,200,warmup
1784412525.364,default-org,183.746,200,warmup
1784412525.548,default-org,175.043,200,warmup
1784412525.193,default-org,563.92,200,warmup
1784412525.723,default-org,174.647,200,warmup
1784412525.898,default-org,230.049,200,warmup
1784412525.757,default-org,561.171,200,warmup
1784412526.128,default-org,233.535,200,warmup
1784412526.318,default-org,243.406,200,warmup
1784412526.361,default-org,302.049,200,warmup
1784412526.664,default-org,183.764,200,warmup
1784412526.847,default-org,227.514,200,warmup
1784412527.075,default-org,164.186,200,warmup
1784412527.239,default-org,173.789,200,warmup
1784412527.413,default-org,222.745,200,warmup
1784412527.636,default-org,184.0,200,warmup
1784412527.82,default-org,149.734,200,warmup
1784412527.969,default-org,152.964,200,warmup
1784412528.122,default-org,150.334,200,warmup
1784412528.273,default-org,183.303,200,warmup
1784412528.456,default-org,168.361,200,warmup
1784412526.562,default-org,2116.622,503,warmup
1784412528.624,default-org,230.402,200,warmup
1784412528.678,default-org,368.948,200,warmup
1784412528.855,default-org,224.346,200,warmup
1784412529.079,default-org,178.672,200,warmup
1784412529.258,default-org,245.228,200,warmup
1784412529.047,default-org,492.888,200,warmup
1784412529.503,default-org,155.848,200,measure
1784412529.54,default-org,294.549,200,measure
1784412529.659,default-org,336.098,200,measure
1784412529.835,default-org,215.502,200,measure
1784412530.05,default-org,201.339,200,measure
1784412530.252,default-org,220.102,200,measure
1784412529.995,default-org,512.593,200,measure
1784412530.472,default-org,181.766,200,measure
1784412530.508,default-org,323.26,200,measure
1784412530.653,default-org,258.782,200,measure
1784412530.831,default-org,201.667,200,measure
1784412530.912,default-org,336.506,200,measure
1784412531.033,default-org,257.935,200,measure
1784412531.249,default-org,164.302,200,measure
1784412531.291,default-org,236.614,200,measure
1784412531.527,default-org,243.941,200,measure
1784412531.413,default-org,390.691,200,measure
1784412531.771,default-org,283.286,200,measure
1784412531.804,default-org,308.16,200,measure
1784412532.055,default-org,182.507,200,measure
1784412532.112,default-org,289.558,200,measure
1784412532.237,default-org,283.076,200,measure
1784412532.402,default-org,300.641,200,measure
1784412532.702,default-org,196.856,200,measure
1784412532.899,default-org,150.446,200,measure
1784412533.05,default-org,163.055,200,measure
1784412533.213,default-org,148.806,200,measure
1784412532.52,default-org,876.092,200,measure
1784412533.361,default-org,152.989,200,measure
1784412533.514,default-org,210.16,200,measure
1784412533.396,default-org,373.2,200,measure
1784412533.725,default-org,178.048,200,measure
1784412533.77,default-org,241.073,200,measure
1784412534.011,default-org,214.289,200,measure
1784412534.225,default-org,168.65,200,measure
1784412533.903,default-org,619.067,200,measure
1784412534.522,default-org,196.262,200,measure
1784412534.718,default-org,147.345,200,measure
1784412534.865,default-org,161.203,200,measure
1784412535.027,default-org,160.286,200,measure
1784412534.394,default-org,831.469,200,measure
1784412535.187,default-org,142.579,200,measure
1784412535.33,default-org,146.702,200,measure
1784412535.225,default-org,625.268,200,measure
1784412535.85,default-org,263.629,200,measure
1784412536.114,default-org,152.628,200,measure
1784412536.267,default-org,207.023,200,measure
1784412536.474,default-org,151.032,200,measure
1784412536.625,default-org,156.031,200,measure
1784412536.781,default-org,164.715,200,measure
1784412536.946,default-org,152.516,200,measure
1784412537.098,default-org,476.87,200,measure
1784412537.575,default-org,161.867,200,measure
1784412537.737,default-org,174.438,200,measure
1784412535.476,default-org,2506.738,503,measure
1784412537.983,default-org,277.244,200,measure
1784412538.26,default-org,250.003,200,measure
1784412538.51,default-org,190.012,200,measure
1784412538.7,default-org,147.229,200,measure
1784412538.848,default-org,143.59,200,measure
1784412538.991,default-org,148.082,200,measure
1784412539.139,default-org,159.739,200,measure
1784412539.299,default-org,157.081,200,measure
1784412539.456,default-org,152.906,200,measure
1784412539.609,default-org,455.608,200,measure
1784412540.065,default-org,221.997,200,measure
1784412540.287,default-org,171.714,200,measure
1784412540.458,default-org,158.927,200,measure
1784412537.911,default-org,2726.298,503,measure
1784412540.617,default-org,225.865,200,measure
1784412540.638,default-org,251.437,200,measure
1784412540.843,default-org,323.05,200,measure
1784412540.889,default-org,416.171,200,measure
1784412541.166,default-org,255.867,200,measure
1784412541.305,default-org,266.004,200,measure
1784412541.422,default-org,300.2,200,measure
1784412541.722,default-org,274.052,200,measure
1784412541.571,default-org,509.932,200,measure
1784412542.081,default-org,186.954,200,measure
1784412542.268,default-org,300.58,200,measure
1784412542.569,default-org,181.705,200,measure
1784412542.751,default-org,173.576,200,measure
1784412542.924,default-org,169.373,200,measure
1784412543.094,default-org,172.138,200,measure
1784412543.266,default-org,164.578,200,measure
1784412543.43,default-org,148.782,200,measure
1784412543.579,default-org,162.3,200,measure
1784412543.741,default-org,151.917,200,measure
1784412541.997,default-org,1984.972,200,measure
1784412543.893,default-org,166.829,200,measure
1784412543.982,default-org,207.073,200,measure
1784412544.189,default-org,205.529,200,measure
1784412544.06,default-org,373.67,200,measure
1784412544.434,default-org,227.809,200,measure
1784412544.662,default-org,163.316,200,measure
1784412544.825,default-org,180.14,200,measure
1784412545.005,default-org,157.889,200,measure
1784412545.163,default-org,172.296,200,measure
1784412545.335,default-org,162.614,200,measure
1784412545.498,default-org,165.384,200,measure
1784412545.664,default-org,151.954,200,measure
1784412545.815,default-org,205.987,200,measure
1784412544.394,default-org,1667.987,200,measure
1784412546.021,default-org,163.271,200,measure
1784412546.062,default-org,379.835,200,measure
1784412546.185,default-org,280.813,200,measure
1784412546.466,default-org,220.399,200,measure
1784412546.686,default-org,287.756,200,measure
1784412546.974,default-org,157.641,200,measure
1784412546.442,default-org,832.905,200,measure
1784412547.275,default-org,179.322,200,measure
1784412547.454,default-org,225.251,200,measure
1784412547.68,default-org,157.195,200,measure
1784412547.837,default-org,162.968,200,measure
1784412548.0,default-org,192.286,200,measure
1784412548.192,default-org,147.952,200,measure
1784412548.34,default-org,147.587,200,measure
1784412548.488,default-org,154.167,200,measure
1784412548.642,default-org,163.712,200,measure
1784412548.806,default-org,161.156,200,measure
1784412548.967,default-org,163.982,200,measure
1784412547.131,default-org,2118.3,503,measure
1784412549.131,default-org,156.555,200,measure
1784412549.287,default-org,232.325,200,measure
1784412549.52,default-org,156.831,200,measure
1784412549.676,default-org,152.476,200,measure
1784412549.829,default-org,161.154,200,measure
1784412549.99,default-org,169.287,200,measure
1784412550.159,default-org,154.091,200,measure
1784412550.314,default-org,169.675,200,measure
1784412550.483,default-org,189.773,200,measure
1784412550.673,default-org,155.237,200,measure
1784412549.25,default-org,1895.929,503,measure
1784412550.828,default-org,332.699,200,measure
1784412551.146,default-org,169.069,200,measure
1784412551.161,default-org,286.552,200,measure
1784412551.448,default-org,248.331,200,measure
1784412551.315,default-org,440.346,200,measure
1784412551.696,default-org,184.109,200,measure
1784412551.755,default-org,254.638,200,measure
1784412551.88,default-org,231.226,200,measure
1784412552.111,default-org,365.766,200,measure
1784412552.01,default-org,586.949,200,measure
1784412552.477,default-org,261.925,200,measure
1784412552.597,default-org,261.382,200,measure
1784412552.739,default-org,189.633,200,measure
1784412552.858,default-org,211.583,200,measure
1784412552.929,default-org,245.039,200,measure
1784412553.07,default-org,288.357,200,measure
1784412553.174,default-org,294.915,200,measure
1784412553.358,default-org,225.144,200,measure
1784412553.469,default-org,230.906,200,measure
1784412553.583,default-org,240.951,200,measure
1784412553.7,default-org,235.274,200,measure
1784412553.935,default-org,200.448,200,measure
1784412553.824,default-org,356.657,200,measure
1784412554.181,default-org,246.239,200,measure
1784412554.135,default-org,335.268,200,measure
1784412554.471,default-org,239.432,200,measure
1784412554.71,default-org,188.657,200,measure
1784412554.899,default-org,153.464,200,measure
1784412555.052,default-org,211.712,200,measure
1784412555.264,default-org,158.018,200,measure
1784412555.422,default-org,150.257,200,measure
1784412555.572,default-org,151.263,200,measure
1784412555.724,default-org,149.058,200,measure
1784412555.873,default-org,161.852,200,measure
1784412556.035,default-org,165.755,200,measure
1784412556.2,default-org,150.773,200,measure
1784412556.351,default-org,160.312,200,measure
1784412554.427,default-org,2160.426,503,measure
1784412556.511,default-org,143.111,200,measure
1784412556.588,default-org,216.322,200,measure
1784412556.655,default-org,262.954,200,measure
1784412556.804,default-org,289.429,200,measure
1784412556.918,default-org,271.043,200,measure
1784412557.189,default-org,246.218,200,measure
1784412557.094,default-org,382.009,200,measure
1784412557.476,default-org,300.059,200,measure
1784412557.776,default-org,502.739,200,measure
1784412558.278,default-org,160.654,200,measure
1784412558.439,default-org,152.007,200,measure
1784412558.591,default-org,153.703,200,measure
1784412558.745,default-org,190.439,200,measure
1784412558.935,default-org,167.697,200,measure
1784412559.103,default-org,145.119,200,measure
1784412559.248,default-org,202.34,200,measure
1784412559.451,default-org,164.076,200,measure
1784412559.615,default-org,144.319,200,measure
1784412559.759,default-org,144.796,200,measure
1784412557.435,default-org,2514.951,200,measure
1784412559.904,default-org,181.817,200,measure
1784412559.95,default-org,236.898,200,measure
1784412560.187,default-org,150.088,200,measure
1784412560.337,default-org,433.764,200,measure
1784412560.086,default-org,732.857,200,measure
1784412560.771,default-org,201.291,200,measure
1784412560.972,default-org,273.594,200,measure
1784412560.818,default-org,576.905,200,measure
1784412561.395,default-org,138.99,200,measure
1784412561.534,default-org,188.082,200,measure
1784412561.722,default-org,147.372,200,measure
1784412561.87,default-org,177.799,200,measure
1784412562.048,default-org,145.279,200,measure
1784412562.193,default-org,150.985,200,measure
1784412561.246,default-org,1136.53,200,measure
1784412562.344,default-org,154.286,200,measure
1784412562.382,default-org,252.691,200,measure
1784412562.498,default-org,256.783,200,measure
1784412562.755,default-org,173.851,200,measure
1784412562.929,default-org,181.873,200,measure
1784412562.635,default-org,519.144,200,measure
1784412563.111,default-org,170.839,200,measure
1784412563.282,default-org,224.344,200,measure
1784412563.506,default-org,180.381,200,measure
1784412563.154,default-org,574.121,200,measure
1784412563.686,default-org,237.033,200,measure
1784412563.728,default-org,245.527,200,measure
1784412563.924,default-org,227.494,200,measure
1784412564.151,default-org,159.42,200,measure
1784412563.974,default-org,375.756,200,measure
1784412564.311,default-org,240.324,200,measure
1784412564.551,default-org,188.223,200,measure
1784412564.739,default-org,183.153,200,measure
1784412564.349,default-org,602.976,200,measure
1784412564.922,default-org,162.481,200,measure
1784412564.952,default-org,297.753,200,measure
1784412565.085,default-org,253.128,200,measure
1784412565.338,default-org,153.108,200,measure
1784412565.25,default-org,623.697,200,measure
1784412565.491,default-org,412.836,200,measure
1784412565.874,default-org,185.805,200,measure
1784412565.904,default-org,273.963,200,measure
1784412566.06,default-org,318.304,200,measure
1784412566.378,default-org,194.279,200,measure
1784412566.178,default-org,428.388,200,measure
1784412566.572,default-org,237.763,200,measure
1784412566.606,default-org,346.586,200,measure
1784412566.953,default-org,185.424,200,measure
1784412566.81,default-org,368.003,200,measure
1784412567.138,default-org,267.67,200,measure
1784412567.406,default-org,181.602,200,measure
1784412567.588,default-org,177.206,200,measure
1784412567.765,default-org,158.379,200,measure
1784412567.923,default-org,327.441,200,measure
1784412567.178,default-org,1073.383,200,measure
1784412568.251,default-org,215.382,200,measure
1784412568.252,default-org,323.878,200,measure
1784412568.466,default-org,226.835,200,measure
1784412568.693,default-org,206.743,200,measure
1784412568.575,default-org,378.132,200,measure
1784412568.9,default-org,179.251,200,measure
1784412569.079,default-org,191.12,200,measure
1784412568.954,default-org,362.422,200,measure
1784412569.27,default-org,182.937,200,measure
1784412569.316,default-org,282.265,200,measure
1784412569.598,default-org,215.261,200,measure
1784412569.814,default-org,162.361,200,measure
1784412569.976,default-org,150.995,200,measure
1784412570.127,default-org,149.365,200,measure
1784412570.276,default-org,152.951,200,measure
1784412570.429,default-org,148.361,200,measure
1784412569.453,default-org,1164.566,200,measure
1784412570.618,default-org,250.509,200,measure
1784412570.868,default-org,177.172,200,measure
1784412571.045,default-org,188.193,200,measure
1784412571.234,default-org,181.286,200,measure
1784412571.415,default-org,157.018,200,measure
1784412570.578,default-org,1240.156,200,measure
1784412571.818,default-org,174.782,200,measure
1784412571.572,default-org,477.606,200,measure
1784412571.993,default-org,271.774,200,measure
1784412572.05,default-org,254.818,200,measure
1784412572.265,default-org,210.412,200,measure
1784412572.475,default-org,175.688,200,measure
1784412572.651,default-org,187.484,200,measure
1784412572.838,default-org,151.447,200,measure
1784412572.99,default-org,155.024,200,measure
1784412572.304,default-org,877.174,200,measure
1784412573.145,default-org,153.892,200,measure
1784412573.182,default-org,244.192,200,measure
1784412573.299,default-org,252.883,200,measure
1784412573.551,default-org,237.564,200,measure
1784412573.426,default-org,382.769,200,measure
1784412573.789,default-org,250.615,200,measure
1784412573.809,default-org,259.821,200,measure
1784412574.068,default-org,227.258,200,measure
1784412574.296,default-org,155.095,200,measure
1784412574.451,default-org,150.068,200,measure
1784412574.601,default-org,147.542,200,measure
1784412574.04,default-org,735.126,200,measure
1784412574.748,default-org,153.109,200,measure
1784412574.775,default-org,266.869,200,measure
1784412574.902,default-org,249.718,200,measure
1784412575.042,default-org,238.27,200,measure
1784412575.151,default-org,257.954,200,measure
1784412575.28,default-org,260.307,200,measure
1784412575.54,default-org,245.963,200,measure
1784412575.786,default-org,159.94,200,measure
1784412575.409,default-org,758.107,200,measure
1784412576.168,default-org,167.358,200,measure
1784412576.335,default-org,360.54,200,measure
1784412576.695,default-org,282.538,200,measure
1784412575.946,default-org,1299.9,200,measure
1784412577.246,default-org,176.088,200,measure
1784412576.978,default-org,489.643,200,measure
1784412577.422,default-org,160.201,200,measure
1784412577.583,default-org,187.413,200,measure
1784412577.77,default-org,351.623,200,measure
1784412577.468,default-org,683.195,200,measure
1784412578.151,default-org,263.922,200,measure
1784412578.122,default-org,341.298,200,measure
1784412578.463,default-org,231.26,200,measure
1784412578.415,default-org,339.134,200,measure
1784412578.694,default-org,184.667,200,measure
1784412578.754,default-org,254.843,200,measure
1784412579.009,default-org,270.806,200,measure
1784412579.28,default-org,156.05,200,measure
1784412579.436,default-org,147.379,200,measure
1784412579.583,default-org,187.384,200,measure
1784412579.771,default-org,170.973,200,measure
1784412579.942,default-org,167.237,200,measure
1784412580.109,default-org,160.343,200,measure
1784412580.269,default-org,161.29,200,measure
1784412580.43,default-org,153.007,200,measure
1784412580.583,default-org,157.995,200,measure
1784412578.879,default-org,1952.985,200,measure
1784412580.741,default-org,173.474,200,measure
1784412580.832,default-org,444.302,200,measure
1784412580.915,default-org,410.516,200,measure
1784412581.326,default-org,152.979,200,measure
1784412581.479,default-org,253.121,200,measure
1784412581.732,default-org,156.324,200,measure
1784412581.888,default-org,147.158,200,measure
1784412581.276,default-org,799.295,200,measure
1784412582.035,default-org,148.879,200,measure
1784412582.076,default-org,265.799,200,measure
1784412582.341,default-org,180.878,200,measure
1784412582.522,default-org,188.862,200,measure
1784412582.711,default-org,219.392,200,measure
1784412582.184,default-org,818.524,200,measure
1784412583.003,default-org,219.001,200,measure
1784412583.222,default-org,183.966,200,measure
1784412583.406,default-org,188.038,200,measure
1784412583.594,default-org,146.35,200,measure
1784412583.74,default-org,181.4,200,measure
1784412582.931,default-org,1124.575,200,measure
1784412583.921,default-org,189.762,200,measure
1784412584.055,default-org,248.421,200,measure
1784412584.111,default-org,244.049,200,measure
1784412584.304,default-org,174.114,200,measure
1784412584.478,default-org,211.808,200,measure
1784412584.69,default-org,163.523,200,measure
1784412584.853,default-org,193.442,200,measure
1784412585.047,default-org,180.579,200,measure
1784412585.227,default-org,159.022,200,measure
1784412585.386,default-org,151.746,200,measure
1784412584.355,default-org,1204.804,200,measure
1784412585.538,default-org,276.887,200,measure
1784412585.56,default-org,284.506,200,measure
1784412585.815,default-org,293.737,200,measure
1784412586.109,default-org,207.412,200,measure
1784412586.316,default-org,155.23,200,measure
1784412586.471,default-org,153.007,200,measure
1784412586.624,default-org,209.34,200,measure
1784412586.834,default-org,165.604,200,measure
1784412586.999,default-org,145.228,200,measure
1784412587.145,default-org,145.819,200,measure
1784412587.29,default-org,193.985,200,measure
1784412587.484,default-org,150.634,200,measure
1784412587.635,default-org,165.052,200,measure
1784412585.845,default-org,2067.378,200,measure
1784412587.8,default-org,230.618,200,measure
1784412588.031,default-org,190.641,200,measure
1784412587.912,default-org,413.323,200,measure
1784412588.221,default-org,270.238,200,measure
1784412588.325,default-org,200.734,200,measure
1784412588.492,default-org,264.201,200,measure
1784412588.526,default-org,271.411,200,measure
1784412588.798,default-org,254.333,200,measure
1784412589.052,default-org,164.478,200,measure
1784412588.756,default-org,488.408,200,measure
1784412589.244,default-org,228.147,200,measure
1784412589.216,default-org,681.539,200,measure
