ts,tenant,latency_ms,status,phase
1784412644.854,default-org,1103.56,200,warmup
1784412644.856,default-org,1233.3,200,warmup
1784412644.855,default-org,1400.568,200,warmup
1784412644.853,default-org,1404.514,200,warmup
1784412644.85,default-org,1700.773,200,warmup
1784412645.958,default-org,693.384,200,warmup
1784412644.852,default-org,1820.301,200,warmup
1784412646.256,default-org,544.65,200,warmup
1784412646.551,default-org,366.355,200,warmup
1784412646.918,default-org,198.805,200,warmup
1784412644.852,default-org,2510.895,200,warmup
1784412644.858,default-org,2597.398,200,warmup
1784412647.363,default-org,153.712,200,warmup
1784412647.516,default-org,204.325,200,warmup
1784412646.257,default-org,2402.912,200,warmup
1784412646.672,default-org,1991.981,200,warmup
1784412648.664,default-org,407.196,200,warmup
1784412648.66,default-org,457.454,200,warmup
1784412646.089,default-org,3167.312,200,warmup
1784412649.256,default-org,157.638,200,warmup
1784412647.116,default-org,2342.342,200,warmup
1784412649.459,default-org,211.541,200,warmup
1784412647.721,default-org,2145.652,200,warmup
1784412649.866,default-org,147.819,200,warmup
1784412647.455,default-org,2803.3,200,warmup
1784412646.651,default-org,3708.016,200,warmup
1784412650.258,default-org,495.305,200,warmup
1784412649.072,default-org,1689.157,200,warmup
1784412649.117,default-org,1735.543,200,warmup
1784412650.754,default-org,296.266,200,warmup
1784412649.67,default-org,1494.552,200,warmup
1784412649.414,default-org,1846.745,200,warmup
1784412651.05,default-org,356.688,200,warmup
1784412650.014,default-org,1538.878,200,warmup
1784412651.407,default-org,444.579,200,warmup
1784412650.761,default-org,1188.808,200,warmup
1784412646.8,default-org,5250.28,503,warmup
1784412651.851,default-org,239.815,200,warmup
1784412650.853,default-org,1407.506,200,warmup
1784412651.165,default-org,1293.86,200,warmup
1784412652.261,default-org,200.478,200,warmup
1784412651.261,default-org,1252.337,200,warmup
1784412651.553,default-org,1107.86,200,warmup
1784412652.461,default-org,389.21,200,warmup
1784412652.85,default-org,282.481,200,warmup
1784412652.513,default-org,774.404,200,warmup
1784412652.091,default-org,1469.905,200,warmup
1784412653.561,default-org,189.658,200,warmup
1784412651.95,default-org,2114.02,200,warmup
1784412654.064,default-org,177.399,200,warmup
1784412652.459,default-org,2096.44,200,warmup
1784412654.555,default-org,165.176,200,warmup
1784412650.359,default-org,4394.112,200,warmup
1784412653.288,default-org,1580.18,200,warmup
1784412654.753,default-org,247.118,200,measure
1784412654.868,default-org,235.006,200,measure
1784412652.051,default-org,3402.442,200,warmup
1784412655.453,default-org,199.669,200,measure
1784412653.133,default-org,2735.021,200,warmup
1784412654.241,default-org,1722.346,200,warmup
1784412655.868,default-org,185.956,200,measure
1784412655.963,default-org,191.26,200,measure
1784412654.72,default-org,1746.379,200,measure
1784412656.467,default-org,161.828,200,measure
1784412652.661,default-org,4797.42,200,warmup
1784412655.103,default-org,2359.305,200,measure
1784412657.458,default-org,236.568,200,measure
1784412655.653,default-org,2207.668,200,measure
1784412657.462,default-org,587.809,200,measure
1784412656.629,default-org,1525.814,200,measure
1784412656.155,default-org,2203.559,200,measure
1784412653.751,default-org,4704.451,503,warmup
1784412657.86,default-org,987.877,200,measure
1784412658.154,default-org,722.021,200,measure
1784412658.05,default-org,902.967,200,measure
1784412658.358,default-org,728.989,200,measure
1784412658.455,default-org,709.286,200,measure
1784412658.953,default-org,419.856,200,measure
1784412658.876,default-org,536.225,200,measure
1784412659.413,default-org,255.861,200,measure
1784412656.054,default-org,3806.111,200,measure
1784412659.86,default-org,178.969,200,measure
1784412657.695,default-org,2468.601,200,measure
1784412660.164,default-org,197.773,200,measure
1784412655.001,default-org,5367.465,503,measure
1784412659.164,default-org,1289.837,200,measure
1784412660.368,default-org,147.725,200,measure
1784412660.516,default-org,240.407,200,measure
1784412659.373,default-org,1486.549,200,measure
1784412659.087,default-org,1869.239,200,measure
1784412660.957,default-org,305.439,200,measure
1784412660.859,default-org,434.46,200,measure
1784412659.669,default-org,1924.46,200,measure
1784412661.593,default-org,290.759,200,measure
1784412660.039,default-org,2281.986,200,measure
1784412660.361,default-org,2209.29,200,measure
