ts,tenant,latency_ms,status,phase
1784412779.264,default-org,393.538,200,measure
1784412773.568,default-org,7185.691,503,measure
1784412776.198,default-org,4662.06,200,measure
1784412780.754,default-org,299.3,200,measure
1784412780.861,default-org,287.926,200,measure
1784412776.468,default-org,4891.858,200,measure
1784412774.967,default-org,6511.965,200,measure
1784412781.36,default-org,198.907,200,measure
1784412781.479,default-org,228.395,200,measure
1784412777.202,default-org,4863.258,200,measure
1784412773.77,default-org,8401.52,503,measure
1784412776.45,default-org,5722.87,200,measure
1784412782.065,default-org,186.693,200,measure
1784412779.5,default-org,2915.816,200,measure
1784412777.698,default-org,4771.435,200,measure
1784412782.172,default-org,316.357,200,measure
1784412782.252,default-org,509.981,200,measure
1784412778.95,default-org,3815.325,200,measure
1784412777.783,default-org,4985.768,200,measure
1784412782.416,default-org,452.224,200,measure
1784412782.768,default-org,208.366,200,measure
1784412782.488,default-org,591.625,200,measure
1784412782.977,default-org,151.489,200,measure
1784412776.768,default-org,6890.887,200,measure
1784412783.658,default-org,67.485,200,measure
1784412782.47,default-org,1483.626,200,measure
1784412783.953,default-org,56.524,200,measure
1784412782.173,default-org,1993.833,200,measure
1784412784.167,default-org,51.86,200,measure
1784412779.13,default-org,5231.348,200,measure
1784412784.362,default-org,63.836,200,measure
1784412782.765,default-org,1895.636,200,measure
1784412776.35,default-org,8311.633,503,measure
1784412779.657,default-org,5105.132,200,measure
1784412783.08,default-org,1774.392,200,measure
1784412784.762,default-org,190.048,200,measure
1784412783.726,default-org,1243.576,200,measure
1784412784.662,default-org,377.98,200,measure
1784412785.04,default-org,111.797,200,measure
1784412784.661,default-org,762.373,200,measure
1784412776.87,default-org,8589.235,200,measure
1784412782.762,default-org,2697.601,200,measure
1784412783.128,default-org,2532.477,200,measure
1784412785.459,default-org,217.669,200,measure
1784412785.424,default-org,281.242,200,measure
1784412785.46,default-org,313.739,200,measure
1784412785.705,default-org,145.046,200,measure
1784412781.707,default-org,4452.811,200,measure
1784412781.148,default-org,5021.63,200,measure
1784412786.16,default-org,112.122,200,measure
1784412786.17,default-org,178.643,200,measure
1784412781.053,default-org,5615.03,200,measure
1784412786.668,default-org,97.616,200,measure
1784412785.85,default-org,1013.512,200,measure
1784412786.863,default-org,59.894,200,measure
1784412784.219,default-org,2849.234,200,measure
1784412787.068,default-org,60.743,200,measure
1784412784.426,default-org,2830.181,200,measure
1784412784.97,default-org,2297.867,200,measure
1784412787.256,default-org,118.524,200,measure
1784412787.267,default-org,127.444,200,measure
1784412781.559,default-org,6110.401,200,measure
1784412787.669,default-org,60.765,200,measure
1784412785.773,default-org,2394.673,200,measure
1784412788.168,default-org,67.543,200,measure
1784412785.661,default-org,2789.197,200,measure
1784412788.45,default-org,54.352,200,measure
1784412785.676,default-org,2989.678,200,measure
1784412788.666,default-org,57.99,200,measure
1784412784.952,default-org,3911.784,200,measure
1784412788.864,default-org,58.653,200,measure
1784412786.923,default-org,2035.894,200,measure
1784412788.959,default-org,57.794,200,measure
1784412782.868,default-org,6283.115,503,measure
1784412787.129,default-org,2034.219,200,measure
1784412789.151,default-org,121.635,200,measure
1784412789.163,default-org,171.754,200,measure
1784412787.374,default-org,2079.261,200,measure
1784412789.454,default-org,57.706,200,measure
1784412788.504,default-org,1245.468,200,measure
1784412787.73,default-org,2024.381,200,measure
1784412789.755,default-org,196.527,200,measure
1784412784.01,default-org,5948.996,503,measure
1784412789.75,default-org,299.164,200,measure
1784412789.959,default-org,176.004,200,measure
1784412784.854,default-org,5298.656,200,measure
1784412786.272,default-org,3880.982,200,measure
1784412790.153,default-org,196.876,200,measure
1784412790.153,default-org,298.217,200,measure
1784412787.395,default-org,3072.305,200,measure
1784412785.152,default-org,5316.508,503,measure
1784412789.335,default-org,1134.933,200,measure
1784412788.724,default-org,1746.189,200,measure
1784412788.236,default-org,2533.759,200,measure
1784412790.47,default-org,304.134,200,measure
1784412790.468,default-org,409.873,200,measure
1784412790.774,default-org,199.308,200,measure
1784412790.878,default-org,198.557,200,measure
1784412790.467,default-org,686.528,200,measure
1784412789.017,default-org,2445.834,200,measure
1784412791.463,default-org,59.842,200,measure
1784412790.049,default-org,1709.021,200,measure
1784412790.35,default-org,1410.766,200,measure
1784412786.349,default-org,5513.113,503,measure
1784412790.47,default-org,1393.382,200,measure
1784412791.758,default-org,194.105,200,measure
1784412791.862,default-org,122.304,200,measure
1784412791.76,default-org,289.191,200,measure
1784412792.05,default-org,99.191,200,measure
1784412789.273,default-org,3095.418,200,measure
1784412792.368,default-org,52.707,200,measure
1784412789.511,default-org,2957.721,200,measure
1784412792.469,default-org,52.481,200,measure
1784412786.766,default-org,5896.886,503,measure
1784412792.663,default-org,56.365,200,measure
1784412791.077,default-org,1879.045,200,measure
1784412792.956,default-org,57.039,200,measure
1784412790.77,default-org,2289.058,200,measure
1784412793.059,default-org,61.991,200,measure
1784412790.135,default-org,3226.946,200,measure
1784412789.951,default-org,3417.636,200,measure
1784412793.362,default-org,60.47,200,measure
1784412793.423,default-org,74.985,200,measure
1784412788.923,default-org,4744.859,200,measure
1784412793.668,default-org,79.254,200,measure
1784412792.521,default-org,1245.933,200,measure
1784412793.767,default-org,62.961,200,measure
