ts,tenant,latency_ms,status,phase
1784411677.057,default-org,56.898,200,measure
1784411677.114,default-org,60.382,200,measure
1784411677.175,default-org,54.818,200,measure
1784411677.229,default-org,55.124,200,measure
1784411677.285,default-org,52.25,200,measure
1784411677.337,default-org,58.41,200,measure
1784411677.395,default-org,57.388,200,measure
1784411677.453,default-org,56.787,200,measure
1784411677.51,default-org,62.949,200,measure
1784411677.572,default-org,64.893,200,measure
1784411677.637,default-org,53.547,200,measure
1784411677.691,default-org,52.816,200,measure
1784411677.744,default-org,68.826,200,measure
1784411677.813,default-org,58.734,200,measure
1784411677.871,default-org,57.69,200,measure
1784411677.929,default-org,57.951,200,measure
1784411677.987,default-org,52.118,200,measure
1784411678.039,default-org,56.93,200,measure
1784411678.096,default-org,53.894,200,measure
1784411678.15,default-org,76.04,200,measure
1784411678.226,default-org,53.906,200,measure
1784411678.28,default-org,54.257,200,measure
1784411678.334,default-org,56.028,200,measure
1784411678.39,default-org,56.778,200,measure
1784411678.447,default-org,55.994,200,measure
1784411678.503,default-org,58.246,200,measure
1784411678.561,default-org,56.048,200,measure
1784411678.618,default-org,58.914,200,measure
1784411678.676,default-org,52.409,200,measure
1784411678.729,default-org,58.091,200,measure
1784411678.787,default-org,55.643,200,measure
1784411678.843,default-org,54.258,200,measure
1784411678.897,default-org,51.432,200,measure
1784411678.948,default-org,55.472,200,measure
1784411679.004,default-org,65.763,200,measure
1784411679.07,default-org,56.972,200,measure
1784411679.127,default-org,51.47,200,measure
1784411679.178,default-org,57.401,200,measure
1784411679.236,default-org,49.903,200,measure
1784411679.286,default-org,57.801,200,measure
1784411679.343,default-org,58.053,200,measure
1784411679.401,default-org,60.092,200,measure
1784411679.462,default-org,54.165,200,measure
1784411679.516,default-org,56.952,200,measure
1784411679.573,default-org,49.704,200,measure
1784411679.622,default-org,55.645,200,measure
1784411679.678,default-org,57.434,200,measure
1784411679.736,default-org,55.731,200,measure
1784411679.791,default-org,125.321,200,measure
1784411679.917,default-org,63.126,200,measure
1784411679.98,default-org,53.665,200,measure
1784411680.033,default-org,70.521,200,measure
1784411680.104,default-org,57.808,200,measure
1784411680.162,default-org,59.208,200,measure
1784411680.221,default-org,59.872,200,measure
1784411680.281,default-org,57.931,200,measure
1784411680.339,default-org,53.001,200,measure
1784411680.392,default-org,57.188,200,measure
1784411680.449,default-org,54.648,200,measure
1784411680.504,default-org,54.087,200,measure
1784411680.558,default-org,56.346,200,measure
1784411680.614,default-org,53.529,200,measure
1784411680.668,default-org,56.502,200,measure
1784411680.724,default-org,52.723,200,measure
1784411680.777,default-org,56.249,200,measure
1784411680.833,default-org,52.195,200,measure
1784411680.886,default-org,55.601,200,measure
1784411680.941,default-org,73.056,200,measure
1784411681.014,default-org,51.263,200,measure
1784411681.065,default-org,54.534,200,measure
1784411681.12,default-org,53.61,200,measure
1784411681.174,default-org,57.691,200,measure
1784411681.231,default-org,53.093,200,measure
1784411681.284,default-org,60.165,200,measure
1784411681.345,default-org,56.007,200,measure
1784411681.401,default-org,60.88,200,measure
1784411681.462,default-org,55.72,200,measure
1784411681.517,default-org,55.486,200,measure
1784411681.573,default-org,49.867,200,measure
1784411681.623,default-org,53.233,200,measure
1784411681.676,default-org,51.992,200,measure
1784411681.728,default-org,57.459,200,measure
1784411681.785,default-org,67.985,200,measure
1784411681.853,default-org,65.526,200,measure
1784411681.919,default-org,52.38,200,measure
1784411681.971,default-org,76.189,200,measure
1784411682.048,default-org,68.09,200,measure
1784411682.116,default-org,56.552,200,measure
1784411682.172,default-org,52.132,200,measure
1784411682.224,default-org,53.528,200,measure
1784411682.278,default-org,55.09,200,measure
1784411682.333,default-org,59.006,200,measure
1784411682.392,default-org,60.699,200,measure
1784411682.453,default-org,63.252,200,measure
1784411682.516,default-org,51.226,200,measure
1784411682.567,default-org,58.485,200,measure
1784411682.626,default-org,70.968,200,measure
1784411682.697,default-org,50.335,200,measure
1784411682.747,default-org,56.184,200,measure
1784411682.803,default-org,75.326,200,measure
1784411682.879,default-org,71.861,200,measure
1784411682.951,default-org,52.333,200,measure
1784411683.003,default-org,56.552,200,measure
1784411683.06,default-org,60.731,200,measure
1784411683.12,default-org,56.614,200,measure
1784411683.177,default-org,63.764,200,measure
1784411683.241,default-org,54.718,200,measure
1784411683.295,default-org,64.429,200,measure
1784411683.36,default-org,53.926,200,measure
1784411683.414,default-org,66.503,200,measure
1784411683.48,default-org,58.773,200,measure
1784411683.539,default-org,59.052,200,measure
1784411683.598,default-org,90.382,200,measure
1784411683.689,default-org,54.653,200,measure
1784411683.743,default-org,60.114,200,measure
1784411683.803,default-org,64.951,200,measure
1784411683.868,default-org,59.345,200,measure
1784411683.928,default-org,59.764,200,measure
1784411683.988,default-org,59.89,200,measure
1784411684.048,default-org,60.375,200,measure
1784411684.108,default-org,59.403,200,measure
1784411684.167,default-org,53.343,200,measure
1784411684.221,default-org,52.199,200,measure
1784411684.273,default-org,56.113,200,measure
1784411684.329,default-org,54.694,200,measure
1784411684.384,default-org,55.918,200,measure
1784411684.44,default-org,51.29,200,measure
1784411684.491,default-org,53.72,200,measure
1784411684.545,default-org,56.336,200,measure
1784411684.601,default-org,67.806,200,measure
1784411684.669,default-org,59.241,200,measure
1784411684.728,default-org,55.494,200,measure
1784411684.784,default-org,54.66,200,measure
1784411684.838,default-org,65.86,200,measure
1784411684.904,default-org,52.834,200,measure
1784411684.957,default-org,62.991,200,measure
1784411685.02,default-org,50.086,200,measure
1784411685.07,default-org,63.583,200,measure
1784411685.134,default-org,57.073,200,measure
1784411685.191,default-org,60.401,200,measure
1784411685.251,default-org,56.927,200,measure
1784411685.308,default-org,54.719,200,measure
1784411685.363,default-org,57.937,200,measure
1784411685.421,default-org,62.174,200,measure
1784411685.483,default-org,50.281,200,measure
1784411685.534,default-org,58.579,200,measure
1784411685.592,default-org,51.785,200,measure
1784411685.644,default-org,57.983,200,measure
1784411685.702,default-org,50.916,200,measure
1784411685.753,default-org,56.926,200,measure
1784411685.81,default-org,60.364,200,measure
1784411685.87,default-org,151.653,200,measure
1784411686.022,default-org,49.419,200,measure
1784411686.071,default-org,55.115,200,measure
1784411686.126,default-org,53.889,200,measure
1784411686.18,default-org,68.771,200,measure
1784411686.249,default-org,58.062,200,measure
1784411686.307,default-org,52.602,200,measure
1784411686.36,default-org,55.571,200,measure
1784411686.415,default-org,56.818,200,measure
1784411686.472,default-org,49.932,200,measure
1784411686.522,default-org,49.993,200,measure
1784411686.572,default-org,53.927,200,measure
1784411686.626,default-org,56.227,200,measure
1784411686.682,default-org,53.23,200,measure
1784411686.736,default-org,59.624,200,measure
1784411686.795,default-org,51.93,200,measure
1784411686.847,default-org,54.904,200,measure
1784411686.902,default-org,58.332,200,measure
1784411686.961,default-org,101.603,200,measure
1784411687.062,default-org,52.158,200,measure
1784411687.114,default-org,56.231,200,measure
1784411687.171,default-org,53.927,200,measure
1784411687.224,default-org,65.81,200,measure
1784411687.29,default-org,50.417,200,measure
1784411687.341,default-org,55.772,200,measure
1784411687.397,default-org,52.905,200,measure
1784411687.449,default-org,60.62,200,measure
1784411687.51,default-org,52.13,200,measure
1784411687.562,default-org,63.446,200,measure
1784411687.626,default-org,58.057,200,measure
1784411687.684,default-org,55.731,200,measure
1784411687.74,default-org,74.244,200,measure
1784411687.814,default-org,58.119,200,measure
1784411687.872,default-org,51.515,200,measure
1784411687.923,default-org,56.717,200,measure
1784411687.98,default-org,70.944,200,measure
1784411688.051,default-org,56.929,200,measure
1784411688.108,default-org,52.107,200,measure
1784411688.16,default-org,62.321,200,measure
1784411688.223,default-org,56.621,200,measure
1784411688.279,default-org,56.481,200,measure
1784411688.336,default-org,56.211,200,measure
1784411688.392,default-org,56.102,200,measure
1784411688.448,default-org,51.499,200,measure
1784411688.5,default-org,56.986,200,measure
1784411688.557,default-org,55.049,200,measure
1784411688.612,default-org,52.556,200,measure
1784411688.664,default-org,53.078,200,measure
1784411688.717,default-org,56.605,200,measure
1784411688.774,default-org,51.748,200,measure
